run_id,section,phase,subphase,page_or_chunk,t_start,t_end,duration_s,rows,notes
20251110_044831,umore,checkpoint,previous,,2025-11-10T03:48:32.526718+00:00,2025-11-10T03:48:32.526718+00:00,2e-06,0,last_modified_remote=
20251110_044831,umore,fetch,page,1,2025-11-10T03:48:33.713829+00:00,2025-11-10T03:48:33.713829+00:00,1e-06,50,sec=1.023 updatedAfter=
20251110_044831,umore,fetch,page,2,2025-11-10T03:48:34.792497+00:00,2025-11-10T03:48:34.792497+00:00,1e-06,50,sec=1.044 updatedAfter=
20251110_044831,umore,fetch,page,3,2025-11-10T03:48:35.898337+00:00,2025-11-10T03:48:35.898337+00:00,1e-06,50,sec=1.059 updatedAfter=
20251110_044831,umore,fetch,page,4,2025-11-10T03:48:37.390555+00:00,2025-11-10T03:48:37.390555+00:00,1e-06,50,sec=1.484 updatedAfter=
20251110_044831,umore,fetch,page,5,2025-11-10T03:48:38.606044+00:00,2025-11-10T03:48:38.606044+00:00,2e-06,50,sec=1.203 updatedAfter=
20251110_044831,umore,fetch,page,6,2025-11-10T03:48:39.477082+00:00,2025-11-10T03:48:39.477082+00:00,1e-06,50,sec=0.862 updatedAfter=
20251110_044831,umore,fetch,page,7,2025-11-10T03:48:40.481972+00:00,2025-11-10T03:48:40.481972+00:00,1e-06,50,sec=1.001 updatedAfter=
20251110_044831,umore,fetch,page,8,2025-11-10T03:48:41.408402+00:00,2025-11-10T03:48:41.408402+00:00,1e-06,50,sec=0.921 updatedAfter=
20251110_044831,umore,fetch,page,9,2025-11-10T03:48:42.696189+00:00,2025-11-10T03:48:42.696189+00:00,1e-06,50,sec=1.283 updatedAfter=
20251110_044831,umore,fetch,page,10,2025-11-10T03:48:43.633562+00:00,2025-11-10T03:48:43.633562+00:00,1e-06,38,sec=0.925 updatedAfter=
20251110_044831,umore,fetch,page,11,2025-11-10T03:49:35.435546+00:00,2025-11-10T03:49:35.435546+00:00,1e-06,0,sec=51.797 updatedAfter=
20251110_044831,umore,fetch,summary,,2025-11-10T03:49:35.454779+00:00,2025-11-10T03:49:35.454779+00:00,1e-06,488,pages=11 sec=62.879508
20251110_044831,umore,build_payload,,,2025-11-10T03:49:35.509246+00:00,2025-11-10T03:49:35.509246+00:00,0.047301,488,skipped_no_time=0
20251110_044831,umore,insert,chunk,1,2025-11-10T03:49:35.653745+00:00,2025-11-10T03:49:35.653745+00:00,0.140256,488,
20251110_044831,umore,checkpoint,updated,,2025-11-10T03:49:35.684904+00:00,2025-11-10T03:49:35.684904+00:00,2e-06,488,last_modified_remote=2025-11-09T23:05:13.418Z
20251110_044831,umore,section_end,,,2025-11-10T03:49:35.697724+00:00,2025-11-10T03:49:35.697724+00:00,2e-06,488,attempted=488
20251110_044831,ansia,checkpoint,previous,,2025-11-10T03:49:35.736964+00:00,2025-11-10T03:49:35.736964+00:00,1e-06,0,last_modified_remote=
20251110_044831,ansia,fetch,page,1,2025-11-10T03:49:36.702106+00:00,2025-11-10T03:49:36.702106+00:00,0.0,7,sec=0.96 updatedAfter=
20251110_044831,ansia,fetch,page,2,2025-11-10T03:49:37.566772+00:00,2025-11-10T03:49:37.566772+00:00,1e-06,0,sec=0.86 updatedAfter=
20251110_044831,ansia,fetch,summary,,2025-11-10T03:49:37.583584+00:00,2025-11-10T03:49:37.583584+00:00,2e-06,7,pages=2 sec=1.841994
20251110_044831,ansia,build_payload,,,2025-11-10T03:49:37.592392+00:00,2025-11-10T03:49:37.592392+00:00,0.003296,7,skipped_no_time=0
20251110_044831,ansia,insert,chunk,1,2025-11-10T03:49:37.605282+00:00,2025-11-10T03:49:37.605282+00:00,0.005921,7,
20251110_044831,ansia,checkpoint,updated,,2025-11-10T03:49:37.615285+00:00,2025-11-10T03:49:37.615285+00:00,2e-06,7,last_modified_remote=2025-06-16T09:49:01.580Z
20251110_044831,ansia,section_end,,,2025-11-10T03:49:37.624554+00:00,2025-11-10T03:49:37.624554+00:00,2e-06,7,attempted=7
20251110_044831,_batch_,summary,,,2025-11-10T03:49:37.629962+00:00,2025-11-10T03:49:37.629962+00:00,65.307836,495,batch completed
